,Id,is_from_uk,is_from_esp,is_from_france,is_from_monaco,cluster
0,716238475,0,0,0,0,0
1,188039706,0,0,0,0,0
2,437610627,0,0,0,0,0
3,248807431,0,0,0,0,0
4,138456571,0,0,0,0,0
5,214413743,0,0,0,1,4
6,2336701140,1,0,0,0,1
7,74153895,0,0,0,0,0
8,86221966,1,0,0,0,1
9,82724710,0,0,0,1,4
10,79412477,0,0,0,0,0
11,197314637,0,0,0,0,0
12,21044208,1,0,0,0,1
13,970154557,0,0,0,0,0
14,151398671,0,0,0,0,0
15,1903382054,1,0,0,0,1
16,45575696,0,0,0,0,0
17,219422455,0,0,0,0,0
18,507672047,0,0,0,0,0
19,116504344,0,0,0,0,0
20,31209800,0,0,0,1,4
21,97305237,0,0,0,0,0
22,118921833,0,0,0,0,0
23,2882426554,1,0,0,0,1
24,321388777,0,0,0,0,0
25,45843783,0,0,0,1,4
26,226087776,0,0,0,0,0
27,1121441719,0,0,0,0,0
28,68367000,0,0,0,0,0
29,22622572,1,0,0,0,1
30,703581570,0,0,0,0,0
31,30969644,0,0,0,0,0
32,224201809,0,0,1,0,3
33,169248299,1,0,0,0,1
34,2471739785,0,0,0,0,0
35,60706671,1,0,0,0,1
36,455801373,1,0,0,0,1
37,413383203,1,0,0,0,1
38,402629721,0,0,0,0,0
39,110918338,0,0,0,0,0
40,18936161,0,0,1,0,3
41,24871896,1,0,0,0,1
42,1174486086,0,0,0,0,0
43,64725596,0,0,0,0,0
44,121034444,0,0,0,0,0
45,134402553,0,0,0,0,0
46,20600235,1,0,0,0,1
47,1098828360,0,0,0,0,0
48,368276033,1,0,0,0,1
49,267304766,1,0,0,0,1
50,179414795,1,0,0,0,1
51,246735213,1,0,0,0,1
52,24871778,1,0,0,0,1
53,414248813,0,0,0,0,0
54,45112524,0,0,0,0,0
55,412659618,0,0,1,0,3
56,83855918,1,0,0,0,1
57,191879849,0,0,0,0,0
58,36339032,0,0,0,0,0
59,204074545,0,0,0,0,0
60,496969269,0,0,0,0,0
61,971608718,0,0,0,1,4
62,52686916,1,0,0,0,1
63,213969309,0,0,0,0,0
64,113301403,0,0,1,0,3
65,138041655,1,0,0,0,1
66,146813134,0,0,0,0,0
67,3063082745,0,0,0,0,0
68,4854457427,1,0,0,0,1
69,37680901,0,0,0,0,0
70,40837929,1,0,0,0,1
71,215952307,0,0,0,0,0
72,30180137,0,0,0,0,0
73,53047484,0,0,0,0,0
74,2375037612,0,1,0,0,2
75,24672558,1,0,0,0,1
76,475936983,0,0,1,0,3
77,2853456283,0,0,0,0,0
78,931712743,0,0,0,0,0
79,307286301,0,0,0,0,0
80,123577980,1,0,0,0,1
81,235910394,0,1,0,0,2
82,259143595,0,0,0,0,0
83,23440052,0,0,0,0,0
84,286196788,0,0,0,0,0
85,249694071,0,0,1,0,3
86,516464106,1,0,0,0,1
87,155642429,1,0,0,0,1
88,1131131095,0,0,0,0,0
89,506269108,0,0,0,0,0
90,195199790,0,0,0,0,0
91,321021481,0,1,0,0,2
92,32453930,0,0,0,0,0
93,35117415,0,0,0,0,0
94,120088875,1,0,0,0,1
95,78030647,1,0,0,0,1
96,20232903,1,0,0,0,1
97,1143472657,0,0,0,0,0
98,19916572,0,0,0,0,0
99,229447010,1,0,0,0,1
100,15603629,0,0,0,0,0
101,156606331,1,0,0,0,1
102,184329890,0,0,0,0,0
103,397306167,1,0,0,0,1
104,479265563,0,0,0,0,0
105,421957377,1,0,0,0,1
106,363176317,0,0,0,0,0
107,468551805,1,0,0,0,1
108,370056930,0,0,0,0,0
109,256569627,0,0,0,0,0
110,1464295423,0,0,0,0,0
111,1229481818,0,0,0,0,0
112,41562632,0,0,0,0,0
113,155620461,1,0,0,0,1
114,239796110,1,0,0,0,1
115,63490735,0,0,0,0,0
116,537951506,0,0,1,0,3
117,950341134,0,1,0,0,2
118,153060554,0,0,0,0,0
119,1186567051,0,0,0,0,0
120,309366491,0,0,0,0,0
121,813286,0,0,0,0,0
122,16240253,0,0,0,0,0
123,151123001,0,1,0,0,2
124,273538402,0,1,0,0,2
125,426488154,0,0,1,0,3
126,2303406624,0,0,0,0,0
127,507534639,1,0,0,0,1
128,10228272,0,0,0,0,0
129,21396136,0,0,0,0,0
130,28247294,0,0,0,0,0
131,142334370,0,0,0,0,0
132,19762524,0,0,0,0,0
133,1295511949,0,0,0,0,0
134,1037633133523423232,0,0,0,0,0
135,1148332369,0,0,0,0,0
136,19267015,0,0,0,0,0
137,207071479,0,0,0,0,0
138,556260847,0,0,0,0,0
139,17540485,0,0,0,0,0
140,29268463,0,0,0,0,0
141,147558951,0,0,0,0,0
142,2222976084,1,0,0,0,1
143,329686741,0,0,0,0,0
144,69008563,0,0,0,0,0
145,315373823,0,0,1,0,3
146,318967677,0,0,0,0,0
147,736341350,1,0,0,0,1
148,56672870,0,0,0,0,0
149,23575595,1,0,0,0,1
150,68674747,0,0,0,0,0
151,56652148,0,1,0,0,2
152,262230432,0,0,0,1,4
153,217461138,0,0,0,0,0
154,157055308,0,0,0,0,0
155,53053378,1,0,0,0,1
156,265618431,0,1,0,0,2
157,3143321146,0,1,0,0,2
158,108247668,0,0,0,0,0
159,2788626986,1,0,0,0,1
160,102789583,0,0,0,0,0
161,2650413864,0,0,0,0,0
162,21200516,1,0,0,0,1
163,37921477,1,0,0,0,1
164,55353207,0,0,0,0,0
165,157932865,0,0,0,0,0
166,168630392,0,0,0,0,0
167,80324287,1,0,0,0,1
168,2742056954,0,0,0,0,0
169,16143542,1,0,0,0,1
170,183310558,0,0,0,0,0
171,14872237,0,1,0,0,2
172,87541152,1,0,0,0,1
173,155927976,0,0,0,0,0
174,243794759,0,0,0,0,0
175,1337785291,0,0,0,0,0
176,1231506325,0,0,0,0,0
177,162840111,0,0,0,0,0
178,229454266,0,0,0,0,0
179,31401945,0,0,0,0,0
180,23746926,0,0,0,0,0
181,44122009,1,0,0,0,1
182,108568373,1,0,0,0,1
183,111280097,0,0,0,0,0
184,57099808,0,1,0,0,2
185,379207068,0,0,0,0,0
186,221817464,1,0,0,0,1
187,265352508,0,0,0,0,0
188,29774933,0,0,0,1,4
189,101485496,0,0,0,0,0
190,83870452,0,0,0,0,0
191,89194184,0,0,0,0,0
192,249186003,1,0,0,0,1
193,158487331,0,0,1,0,3
194,54502344,0,0,0,0,0
195,170863272,0,0,0,0,0
196,501836993,0,0,0,0,0
197,478492840,0,0,1,0,3
198,402784738,0,0,0,0,0
199,353786894,0,0,0,0,0
200,82322622,0,0,0,0,0
201,102076372,1,0,0,0,1
202,344634424,0,0,0,0,0
203,248655839,0,0,0,0,0
204,2827589488,0,0,1,0,3
205,2277511217,0,0,0,0,0
206,301521704,0,0,0,0,0
207,90636188,1,0,0,0,1
208,1635567745,0,0,0,0,0
209,301678233,0,0,0,0,0
210,50003640,0,0,0,0,0
211,295345685,1,0,0,0,1
212,45578562,0,0,0,0,0
213,128155589,0,0,0,0,0
214,125832497,0,0,0,0,0
215,115044590,0,0,0,1,4
216,594802359,1,0,0,0,1
217,113355808,1,0,0,0,1
218,707494670,0,0,0,0,0
219,242923013,0,0,0,0,0
220,706563526530355200,0,0,0,0,0
221,316989623,0,0,0,1,4
222,62873433,0,0,0,0,0
223,41785723,0,0,0,0,0
224,245556939,0,0,0,0,0
225,38485549,0,0,0,0,0
226,562953960,0,0,0,0,0
227,142204481,0,0,0,0,0
228,386420143,0,0,0,0,0
229,38170974,0,0,0,0,0
230,75517951,0,0,0,0,0
231,49391820,1,0,0,0,1
